ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
"S0001-37652016000100165-scl","Collaboration Networks in the Brazilian Scientific Output in Evolutionary Biology: 2000-2012","Santin, Dirce M., Vanz, Samile A.S., Stumpf, Ida R.C.","Anais da Academia Brasileira de Ciências; 88(1); 165-178","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000100165&lang=pt" 
"S2179-975X2016000100403-scl","Scientometric trends of freshwater benthic invertebrates studies in Brazil","Brandimarte, Ana Lúcia, Melo, Ana Liz Uchida","Acta Limnologica Brasiliensia; 28(); -","Acta Limnologica Brasiliensia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-975X2016000100403&lang=pt" 
"S2179-975X2016000100401-scl","Land use effects and stream metabolic rates: a review of ecosystem response","Silva-Junior, Eduardo Francisco da","Acta Limnologica Brasiliensia; 28(); -","Acta Limnologica Brasiliensia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-975X2016000100401&lang=pt" 
"S0001-37652016000501735-scl","Scientific Performance of Brazilian Researchers in Pharmacology with grants from CNPq: A comparative study within the Brazilian categories","KAMDEM, JEAN P., ABOLAJI, AMOS O., ROOS, DANIEL H., CALABRÓ, LUCIANA, BARBOSA, NILDA V., SOUZA, DIOGO O., ROCHA, JOÃO BATISTA T.","Anais da Academia Brasileira de Ciências; 88(3); 1735-1742","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000501735&lang=pt" 
"S0100-29452016000404001-scl","STATE OF THE ART OF SCIENTIFIC LITERATURE ON Hancornia speciosa: TRENDS AND GAPS","ALMEIDA, LUCIANE MADUREIRA DE, NOGUEIRA, CÁSSIA APARECIDA, BORGES, PEDRO PAULINO, PRADO, ANGÉLICA DAIANE LEMOS DO, GONÇALVES, PABLO JOSÉ","Revista Brasileira de Fruticultura; 38(4); -","Revista Brasileira de Fruticultura","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452016000404001&lang=pt" 
"S0103-65132015000400764-scl","Uma análise cienciométrica da literatura de inteligência competitiva","Cabral Netto, Olavo Viana, Laurindo, Fernando José Barbin","Production; 25(4); 764-778","Production","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132015000400764&lang=pt" 
"S0034-77442015000401255-cri","Bibliometry of Panama publications in the Science Citation Index Expanded: publication type, language, fields, authors and institutions","Monge-Nájera, Julián, Ho, Yuh-Shan","Revista de Biología Tropical; 63(4); 1255-1266","Revista de Biología Tropical","Inglês","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442015000401255&lang=pt" 
"S0103-37862015000300219-scl","Processo para evidenciação do estado da arte aplicado ao tema gestão de produção científica","ENSSLIN, Leonardo, WAICZYK, Cleomir, CHAVES, Leonardo Corrêa, ENSSLIN, Eduardo Rolim","Transinformação; 27(3); 219-228","Transinformação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862015000300219&lang=pt" 
"S2224-61852015000300004-cub","Estudio de productividad científica internacional de la temática Caña de Azúcar relacionada con Química Aplicada","Paz Enrique, Luis Ernesto, Hernández Alfonso, Eduardo Alejandro","Tecnología Química; 35(3); 295-307","Tecnología Química","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2224-61852015000300004&lang=pt" 
"S1413-41522015000400685-scl","Resíduos sólidos no Brasil: contexto, lacunas e tendências","Deus, Rafael Mattos, Battistelle, Rosane Aparecida Gomes, Silva, Gustavo Henrique Ribeiro","Engenharia Sanitaria e Ambiental; 20(4); 685-698","Engenharia Sanitaria e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522015000400685&lang=pt" 
"S1519-69842015000800184-scl","Ethnozoology in Brazil: analysis of the methodological risks in published studies","Lyra-Neves, R. M., Santos, E. M., Medeiros, P. M., Alves, R. R. N., Albuquerque, U. P.","Brazilian Journal of Biology; 75(4); 184-191","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000800184&lang=pt" 
"S1519-69842015000800017-scl","Trends and biases in global scientific literature about ecological niche models","Vaz, U. L., Cunha, H. F., Nabout, J. C.","Brazilian Journal of Biology; 75(4); 17-24","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000800017&lang=pt" 
"S1560-43812015000300024-cub","Impacto internacional de la investigación en salud de Cuba según áreas del conocimiento, Scopus, 2009-2013","Cañedo Andalia, Rubén, Nodarse Rodríguez, Mario, Cruz Font, Jaime, Celorrio Zaragoza, Ivonne, Parra Linares, Edwar","Correo Científico Médico; 19(3); 588-597","Correo Científico Médico","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1560-43812015000300024&lang=pt" 
